"latitude","longitude","co2"
90,0,0.00061351975
90,0.75,0.00061351975
90,1.5,0.00061351975
90,2.25,0.00061351975
90,3,0.00061351975
90,3.75,0.00061351975
90,4.5,0.00061351975
90,5.25,0.00061351975
90,6,0.00061351975
90,6.75,0.00061351975
90,7.5,0.00061351975
90,8.25,0.00061351975
90,9,0.00061351975
90,9.75,0.00061351975
90,10.5,0.00061351975
90,11.25,0.00061351975
90,12,0.00061351975
90,12.75,0.00061351975
90,13.5,0.00061351975
90,14.25,0.00061351975
90,15,0.00061351975
90,15.75,0.00061351975
90,16.5,0.00061351975
90,17.25,0.00061351975
90,18,0.00061351975
90,18.75,0.00061351975
90,19.5,0.00061351975
90,20.25,0.00061351975
90,21,0.00061351975
90,21.75,0.00061351975
90,22.5,0.00061351975
90,23.25,0.00061351975
90,24,0.00061351975
90,24.75,0.00061351975
90,25.5,0.00061351975
90,26.25,0.00061351975
90,27,0.00061351975
90,27.75,0.00061351975
90,28.5,0.00061351975
90,29.25,0.00061351975
90,30,0.00061351975
90,30.75,0.00061351975
90,31.5,0.00061351975
90,32.25,0.00061351975
90,33,0.00061351975
90,33.75,0.00061351975
90,34.5,0.00061351975
90,35.25,0.00061351975
90,36,0.00061351975
90,36.75,0.00061351975
90,37.5,0.00061351975
90,38.25,0.00061351975
90,39,0.00061351975
90,39.75,0.00061351975
90,40.5,0.00061351975
90,41.25,0.00061351975
90,42,0.00061351975
90,42.75,0.00061351975
90,43.5,0.00061351975
90,44.25,0.00061351975
90,45,0.00061351975
90,45.75,0.00061351975
90,46.5,0.00061351975
90,47.25,0.00061351975
90,48,0.00061351975
90,48.75,0.00061351975
90,49.5,0.00061351975
90,50.25,0.00061351975
90,51,0.00061351975
90,51.75,0.00061351975
90,52.5,0.00061351975
90,53.25,0.00061351975
90,54,0.00061351975
90,54.75,0.00061351975
90,55.5,0.00061351975
90,56.25,0.00061351975
90,57,0.00061351975
90,57.75,0.00061351975
90,58.5,0.00061351975
90,59.25,0.00061351975
90,60,0.00061351975
90,60.75,0.00061351975
90,61.5,0.00061351975
90,62.25,0.00061351975
90,63,0.00061351975
90,63.75,0.00061351975
90,64.5,0.00061351975
90,65.25,0.00061351975
90,66,0.00061351975
90,66.75,0.00061351975
90,67.5,0.00061351975
90,68.25,0.00061351975
90,69,0.00061351975
90,69.75,0.00061351975
90,70.5,0.00061351975
90,71.25,0.00061351975
90,72,0.00061351975
90,72.75,0.00061351975
90,73.5,0.00061351975
90,74.25,0.00061351975
90,75,0.00061351975
90,75.75,0.00061351975
90,76.5,0.00061351975
90,77.25,0.00061351975
90,78,0.00061351975
90,78.75,0.00061351975
90,79.5,0.00061351975
90,80.25,0.00061351975
90,81,0.00061351975
90,81.75,0.00061351975
90,82.5,0.00061351975
90,83.25,0.00061351975
90,84,0.00061351975
90,84.75,0.00061351975
90,85.5,0.00061351975
90,86.25,0.00061351975
90,87,0.00061351975
90,87.75,0.00061351975
90,88.5,0.00061351975
90,89.25,0.00061351975
90,90,0.00061351975
90,90.75,0.00061351975
90,91.5,0.00061351975
90,92.25,0.00061351975
90,93,0.00061351975
90,93.75,0.00061351975
90,94.5,0.00061351975
90,95.25,0.00061351975
90,96,0.00061351975
90,96.75,0.00061351975
90,97.5,0.00061351975
90,98.25,0.00061351975
90,99,0.00061351975
90,99.75,0.00061351975
90,100.5,0.00061351975
90,101.25,0.00061351975
90,102,0.00061351975
90,102.75,0.00061351975
90,103.5,0.00061351975
90,104.25,0.00061351975
90,105,0.00061351975
90,105.75,0.00061351975
90,106.5,0.00061351975
90,107.25,0.00061351975
90,108,0.00061351975
90,108.75,0.00061351975
90,109.5,0.00061351975
90,110.25,0.00061351975
90,111,0.00061351975
90,111.75,0.00061351975
90,112.5,0.00061351975
90,113.25,0.00061351975
90,114,0.00061351975
90,114.75,0.00061351975
90,115.5,0.00061351975
90,116.25,0.00061351975
90,117,0.00061351975
90,117.75,0.00061351975
90,118.5,0.00061351975
90,119.25,0.00061351975
90,120,0.00061351975
90,120.75,0.00061351975
90,121.5,0.00061351975
90,122.25,0.00061351975
90,123,0.00061351975
90,123.75,0.00061351975
90,124.5,0.00061351975
90,125.25,0.00061351975
90,126,0.00061351975
90,126.75,0.00061351975
90,127.5,0.00061351975
90,128.25,0.00061351975
90,129,0.00061351975
90,129.75,0.00061351975
90,130.5,0.00061351975
90,131.25,0.00061351975
90,132,0.00061351975
90,132.75,0.00061351975
90,133.5,0.00061351975
90,134.25,0.00061351975
90,135,0.00061351975
90,135.75,0.00061351975
90,136.5,0.00061351975
90,137.25,0.00061351975
90,138,0.00061351975
90,138.75,0.00061351975
90,139.5,0.00061351975
90,140.25,0.00061351975
90,141,0.00061351975
90,141.75,0.00061351975
90,142.5,0.00061351975
90,143.25,0.00061351975
90,144,0.00061351975
90,144.75,0.00061351975
90,145.5,0.00061351975
90,146.25,0.00061351975
90,147,0.00061351975
90,147.75,0.00061351975
90,148.5,0.00061351975
90,149.25,0.00061351975
90,150,0.00061351975
90,150.75,0.00061351975
90,151.5,0.00061351975
90,152.25,0.00061351975
90,153,0.00061351975
90,153.75,0.00061351975
90,154.5,0.00061351975
90,155.25,0.00061351975
90,156,0.00061351975
90,156.75,0.00061351975
90,157.5,0.00061351975
90,158.25,0.00061351975
90,159,0.00061351975
90,159.75,0.00061351975
90,160.5,0.00061351975
90,161.25,0.00061351975
90,162,0.00061351975
90,162.75,0.00061351975
90,163.5,0.00061351975
90,164.25,0.00061351975
90,165,0.00061351975
90,165.75,0.00061351975
90,166.5,0.00061351975
90,167.25,0.00061351975
90,168,0.00061351975
90,168.75,0.00061351975
90,169.5,0.00061351975
90,170.25,0.00061351975
90,171,0.00061351975
90,171.75,0.00061351975
90,172.5,0.00061351975
90,173.25,0.00061351975
90,174,0.00061351975
90,174.75,0.00061351975
90,175.5,0.00061351975
90,176.25,0.00061351975
90,177,0.00061351975
90,177.75,0.00061351975
90,178.5,0.00061351975
90,179.25,0.00061351975
90,180,0.00061351975
90,180.75,0.00061351975
90,181.5,0.00061351975
90,182.25,0.00061351975
90,183,0.00061351975
90,183.75,0.00061351975
90,184.5,0.00061351975
90,185.25,0.00061351975
90,186,0.00061351975
90,186.75,0.00061351975
90,187.5,0.00061351975
90,188.25,0.00061351975
90,189,0.00061351975
90,189.75,0.00061351975
90,190.5,0.00061351975
90,191.25,0.00061351975
90,192,0.00061351975
90,192.75,0.00061351975
90,193.5,0.00061351975
90,194.25,0.00061351975
90,195,0.00061351975
90,195.75,0.00061351975
90,196.5,0.00061351975
90,197.25,0.00061351975
90,198,0.00061351975
90,198.75,0.00061351975
90,199.5,0.00061351975
90,200.25,0.00061351975
90,201,0.00061351975
90,201.75,0.00061351975
90,202.5,0.00061351975
90,203.25,0.00061351975
90,204,0.00061351975
90,204.75,0.00061351975
90,205.5,0.00061351975
90,206.25,0.00061351975
90,207,0.00061351975
90,207.75,0.00061351975
90,208.5,0.00061351975
90,209.25,0.00061351975
90,210,0.00061351975
90,210.75,0.00061351975
90,211.5,0.00061351975
90,212.25,0.00061351975
90,213,0.00061351975
90,213.75,0.00061351975
90,214.5,0.00061351975
90,215.25,0.00061351975
90,216,0.00061351975
90,216.75,0.00061351975
90,217.5,0.00061351975
90,218.25,0.00061351975
90,219,0.00061351975
90,219.75,0.00061351975
90,220.5,0.00061351975
90,221.25,0.00061351975
90,222,0.00061351975
90,222.75,0.00061351975
90,223.5,0.00061351975
90,224.25,0.00061351975
90,225,0.00061351975
90,225.75,0.00061351975
90,226.5,0.00061351975
90,227.25,0.00061351975
90,228,0.00061351975
90,228.75,0.00061351975
90,229.5,0.00061351975
90,230.25,0.00061351975
90,231,0.00061351975
90,231.75,0.00061351975
90,232.5,0.00061351975
90,233.25,0.00061351975
90,234,0.00061351975
90,234.75,0.00061351975
90,235.5,0.00061351975
90,236.25,0.00061351975
90,237,0.00061351975
90,237.75,0.00061351975
90,238.5,0.00061351975
90,239.25,0.00061351975
90,240,0.00061351975
90,240.75,0.00061351975
90,241.5,0.00061351975
90,242.25,0.00061351975
90,243,0.00061351975
90,243.75,0.00061351975
90,244.5,0.00061351975
90,245.25,0.00061351975
90,246,0.00061351975
90,246.75,0.00061351975
90,247.5,0.00061351975
90,248.25,0.00061351975
90,249,0.00061351975
90,249.75,0.00061351975
90,250.5,0.00061351975
90,251.25,0.00061351975
90,252,0.00061351975
90,252.75,0.00061351975
90,253.5,0.00061351975
90,254.25,0.00061351975
90,255,0.00061351975
90,255.75,0.00061351975
90,256.5,0.00061351975
90,257.25,0.00061351975
90,258,0.00061351975
90,258.75,0.00061351975
90,259.5,0.00061351975
90,260.25,0.00061351975
90,261,0.00061351975
90,261.75,0.00061351975
90,262.5,0.00061351975
90,263.25,0.00061351975
90,264,0.00061351975
90,264.75,0.00061351975
90,265.5,0.00061351975
90,266.25,0.00061351975
90,267,0.00061351975
90,267.75,0.00061351975
90,268.5,0.00061351975
90,269.25,0.00061351975
90,270,0.00061351975
90,270.75,0.00061351975
90,271.5,0.00061351975
90,272.25,0.00061351975
90,273,0.00061351975
90,273.75,0.00061351975
90,274.5,0.00061351975
90,275.25,0.00061351975
90,276,0.00061351975
90,276.75,0.00061351975
90,277.5,0.00061351975
90,278.25,0.00061351975
90,279,0.00061351975
90,279.75,0.00061351975
90,280.5,0.00061351975
90,281.25,0.00061351975
90,282,0.00061351975
90,282.75,0.00061351975
90,283.5,0.00061351975
90,284.25,0.00061351975
90,285,0.00061351975
90,285.75,0.00061351975
90,286.5,0.00061351975
90,287.25,0.00061351975
90,288,0.00061351975
90,288.75,0.00061351975
90,289.5,0.00061351975
90,290.25,0.00061351975
90,291,0.00061351975
90,291.75,0.00061351975
90,292.5,0.00061351975
